"name","label","class","n_missing","pct_missing"
"@FB32c19","F14a What FINALLY TRIGGERED the second most recent serious quit attempt -  Don't know","haven_labelled/vctrs_vctr/double",440859,99.9
"@Fcomc6","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Attended one or more Stop smoking one-to-one counselling/advice/support session/s","haven_labelled/vctrs_vctr/double",441410,100
"@G632c7","F3 What used to help stop smoking during the second most recent serious quit attempt - Smoking helpline such as NHS smoking helpline or Quitline","haven_labelled/vctrs_vctr/double",439798,99.6
"@G632e7","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - Don't know","haven_labelled/vctrs_vctr/double",440181,99.7
"@GB32c20","F14a What FINALLY TRIGGERED the second most recent serious quit attempt  - Other answers","haven_labelled/vctrs_vctr/double",440859,99.9
"@H632c8","F3 What used to help stop smoking during the second most recent serious quit attempt - Hypnotherapy","haven_labelled/vctrs_vctr/double",430469,97.5
"@H632e8","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - None of these","haven_labelled/vctrs_vctr/double",440181,99.7
"@HB32c21","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Not stated","haven_labelled/vctrs_vctr/double",441187,99.9
"@HC32e18","E4 Which used to help stop smoking even if no serious quit attempt made - Willpower","haven_labelled/vctrs_vctr/double",439639,99.6
"@Hcomc8","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Hypnotherapy","haven_labelled/vctrs_vctr/double",441410,100
"@I632c9","F3 What used to help stop smoking during the second most recent serious quit attempt - Willpower","haven_labelled/vctrs_vctr/double",430469,97.5
"@I632e9","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - Not stated","haven_labelled/vctrs_vctr/double",440181,99.7
"@IB32d1","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Advice from a GP/health professional","haven_labelled/vctrs_vctr/double",441259,99.9
"@Icomc9","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Willpower","haven_labelled/vctrs_vctr/double",441410,100
"@J632c10","F3 What used to help stop smoking during the second most recent serious quit attempt - Nothing","haven_labelled/vctrs_vctr/double",430469,97.5
"@JB32d2","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - TV advert for a nicotine replacement product","haven_labelled/vctrs_vctr/double",441259,99.9
"@Jcomc10","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Nothing","haven_labelled/vctrs_vctr/double",441410,100
"@K632c11","F3 What used to help stop smoking during the second most recent serious quit attempt - Don't know","haven_labelled/vctrs_vctr/double",430469,97.5
"@KB32d3","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Government TV/radio/press adver","haven_labelled/vctrs_vctr/double",441259,99.9
"@Kcomc11","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Don't know","haven_labelled/vctrs_vctr/double",441410,100
"@L632c12","F3 What used to help stop smoking during the second most recent serious quit attempt - Other answers","haven_labelled/vctrs_vctr/double",430469,97.5
"@LB32d4","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Hearing about a new stop smoking treatment","haven_labelled/vctrs_vctr/double",441259,99.9
"@Lcomc12","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Other answers","haven_labelled/vctrs_vctr/double",441410,100
"@M632c13","F3 What used to help stop smoking during the second most recent serious quit attempt - Not stated","haven_labelled/vctrs_vctr/double",431504,97.7
"@MB32d5","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - A decision that smoking was too expensive","haven_labelled/vctrs_vctr/double",441259,99.9
"@N632c1","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Advice from a GP/health professional","haven_labelled/vctrs_vctr/double",440859,99.9
"@N632c14","F3 What used to help stop smoking during the second most recent serious quit attempt - Read a book/booklet","haven_labelled/vctrs_vctr/double",441160,99.9
"@NB32d6","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Being faced with smoking restrictions","haven_labelled/vctrs_vctr/double",441259,99.9
"@O632c15","F3 What used to help stop smoking during the second most recent serious quit attempt - Chewing gum (general mention)","haven_labelled/vctrs_vctr/double",441160,99.9
"@O632c2","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - TV advert for a nicotine replacement product","haven_labelled/vctrs_vctr/double",440859,99.9
"@OB32d7","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - I knew someone else who was stopping","haven_labelled/vctrs_vctr/double",441259,99.9
"@OB32e17","E3 What used to help stop smoking during the most recent serious quit attempt - Acupunture","haven_labelled/vctrs_vctr/double",415314,94.1
"@P632c3","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Government TV/radio/press advert","haven_labelled/vctrs_vctr/double",440859,99.9
"@PB32d8","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Seeing a health warning on a cigarette packet","haven_labelled/vctrs_vctr/double",441259,99.9
"@Q632c17","F3 What used to help stop smoking during the second most recent serious quit attempt - Nothing/(went) cold turkey/just did (myself)","haven_labelled/vctrs_vctr/double",440677,99.8
"@Q632c4","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Hearing about a new stop smoking treatment","haven_labelled/vctrs_vctr/double",440859,99.9
"@QB32d9","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Being contacted by my local NHS Stop Smoking Services","haven_labelled/vctrs_vctr/double",441259,99.9
"@R632c5","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - A decision that smoking was too expensive","haven_labelled/vctrs_vctr/double",440859,99.9
"@RB32d10","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Health problems I had at the time","haven_labelled/vctrs_vctr/double",441259,99.9
"@RE32c23","F12 Which of the following contributed to second most recent quit attempt - Not stated","haven_labelled/vctrs_vctr/double",435360,98.6
"@S632c6","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Being faced with smoking restrictions","haven_labelled/vctrs_vctr/double",440859,99.9
"@SB32d11","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - A concern about future health problems","haven_labelled/vctrs_vctr/double",441259,99.9
"@T632c7","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - I knew someone else who was stopping","haven_labelled/vctrs_vctr/double",440859,99.9
"@TB32d12","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Pressure from family/family wanted me to stop","haven_labelled/vctrs_vctr/double",441259,99.9
"@U632c8","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Seeing a health warning on a cigarette packe","haven_labelled/vctrs_vctr/double",440859,99.9
"@UB32d13","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Pregnancy","haven_labelled/vctrs_vctr/double",441259,99.9
"@V632c9","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Being contacted by my local NHS Stop Smoking Services","haven_labelled/vctrs_vctr/double",440859,99.9
"@VB32d14","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Worried for children","haven_labelled/vctrs_vctr/double",441259,99.9
"@W632c10","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Health problems I had at the tim","haven_labelled/vctrs_vctr/double",440859,99.9
"@WB32d15","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Knew someone who was ill/had died (from smoking)","haven_labelled/vctrs_vctr/double",441259,99.9
"@WD32e17","G3 What used to help stop smoking during the third most recent serious quit attempt - Acupuncture","haven_labelled/vctrs_vctr/double",439002,99.4
"@X632c11","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - A concern about future health problems","haven_labelled/vctrs_vctr/double",440859,99.9
"@XB32d16","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - (just) decided to quit","haven_labelled/vctrs_vctr/double",441259,99.9
"@Y632c12","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Pressure from family/family wanted me to stop","haven_labelled/vctrs_vctr/double",440859,99.9
"@YB32d17","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Health reasons - not specified if current or future","haven_labelled/vctrs_vctr/double",441259,99.9
"@Z632c13","F14a What FINALLY TRIGGERED the second most recent serious quit attempt  - Pregnancy","haven_labelled/vctrs_vctr/double",440859,99.9
"@ZB32d18","G14a What  FINALLY TRIGGERED the third most recent serious quit attempt - Nothing","haven_labelled/vctrs_vctr/double",441259,99.9
"@bd32e18","F3 What used to help stop smoking during the second most recent serious quit attempt -  Electronic cigarette","haven_labelled/vctrs_vctr/double",432624,98
"@bd32e19","F3 What used to help stop smoking during the second most recent serious quit attempt - Used an application on a handheld computer device (Smartphone, Tablet or PDA)","haven_labelled/vctrs_vctr/double",434305,98.4
"@bd32e20","F3 What used to help stop smoking during the second most recent serious quit attempt - The SmokeFree Formula book","haven_labelled/vctrs_vctr/double",435498,98.6
"@bd32e21","F3 What used to help stop smoking during the second most recent serious quit attempt - Other book or booklet","haven_labelled/vctrs_vctr/double",435498,98.6
"@bd32e22","F3 What used to help stop smoking during second most recent serious quit attempt - Heat-not-burn Cigarette","haven_labelled/vctrs_vctr/double",436523,98.9
"@bd32e23","F3 What used to help stop smoking during the second most recent serious quit attempt - Juul","haven_labelled/vctrs_vctr/double",437408,99.1
"@bd32e24","F3 What used to help stop smoking during the second most recent serious quit attempt - Cytisine (e.g. Tabex, Tactizen or Desmoxan)","haven_labelled/vctrs_vctr/double",439127,99.5
"@bdcom18","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) -  Electronic/fake cigarette","haven_labelled/vctrs_vctr/double",441410,100
"@com32c23","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Not stated","haven_labelled/vctrs_vctr/double",441410,100
"@com32e17","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Acupuncture","haven_labelled/vctrs_vctr/double",441460,100
"@com9a_1","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Advice from a GP/health professional","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_10","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Health problems I had at the time","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_11","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - A concern about future health problems","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_12","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Attending a local stop smoking activity or event","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_13","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Something said by family/friends/children","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_14","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - A significant birthday","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_15","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Don't Know/Can't remember","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_16","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Other","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_17","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Health reasons - not specified if current or future","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_18","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Pregnancy","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_19","F12 Which of the following contributed to second most recent quit attempt (COMBINED) -  Worried for children","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_2","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - TV advert for a nicotine replacement product","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_20","F12 Which of the following contributed to second most recent quit attempt (COMBINED) -  Knew someone who was ill/had died (from smoking)","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_21","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - (Just) decided to quit","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_22","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Going on holiday","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_3","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Government TV/radio/press advert","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_4","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Hearing about a new stop smoking treatment","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_5","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - A decision that smoking was too expensive","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_6","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Being faced with smoking restrictions","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_7","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - I knew someone else who was stopping","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_8","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Seeing a health warning on a cigarette packet","haven_labelled/vctrs_vctr/double",441410,100
"@com9a_9","F12 Which of the following contributed to second most recent quit attempt (COMBINED) - Being contacted by my local NHS Stop Smoking Services","haven_labelled/vctrs_vctr/double",441410,100
"@comb1","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Nicotine replacement product without prescription","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb10","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Nothing","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb11","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Don't know","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb12","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Other answers","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb13","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - not stated","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb17","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Acupuncture","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb1d","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - A book or booklet","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb1g","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Phoned a Smoking Helpline","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb1i","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Visited  www.nhs.uk/smokefree website","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb1j","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) -  Visited a website other than Smokefree","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb1k","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) -  Electronic/fake cigarette","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb2","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Nicotine replacement product on prescription or given to you by a health professional","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb3","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Zyban (bupropion)","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb4","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Champix (varenicline)","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb5","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Attended a Stop Smoking group","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb6","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Attended one or more Stop smoking one-to-one counselling/advice/support session/s","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb8","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Hypnotherapy","haven_labelled/vctrs_vctr/double",441259,99.9
"@comb9","E3 What used to help stop smoking during the most recent serious quit attempt (COMBINED) - Willpower","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_1","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Advice from a GP/health professional","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_10","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Health problems I had at the time","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_11","E12 Which of the following contributed to most recent quit attempt (COMBINED) - A concern about future health problems","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_12","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Attending a local stop smoking activity or event","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_13","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Something said by family/friends/children","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_14","E12 Which of the following contributed to most recent quit attempt (COMBINED) - A significant birthday","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_15","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Don't Know/Can't remember","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_16","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Other","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_17","E12 Which of the following contributed to most recent quit attempt (COMBINED) -  Worried for children","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_18","E12 Which of the following contributed to most recent quit attempt (COMBINED) -  Knew someone who was ill/had died (from smoking)","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_19","E12 Which of the following contributed to most recent quit attempt (COMBINED) - (Just) decided to quit","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_2","E12 Which of the following contributed to most recent quit attempt (COMBINED) - TV advert for a nicotine replacement product","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_20","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Pregnancy","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_21","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Health reasons - not specified if current or future","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_22","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Going on holiday","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_23","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Not stated","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_3","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Government TV/radio/press advert","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_4","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Hearing about a new stop smoking treatment","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_5","E12 Which of the following contributed to most recent quit attempt (COMBINED) - A decision that smoking was too expensive","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_6","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Being faced with smoking restrictions","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_7","E12 Which of the following contributed to most recent quit attempt (COMBINED) - I knew someone else who was stopping","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_8","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Seeing a health warning on a cigarette packet","haven_labelled/vctrs_vctr/double",441259,99.9
"@comba_9","E12 Which of the following contributed to most recent quit attempt (COMBINED) - Being contacted by my local NHS Stop Smoking Services","haven_labelled/vctrs_vctr/double",441259,99.9
"@comd1","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Nicotine replacement product without prescription","haven_labelled/vctrs_vctr/double",441460,100
"@comd10","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Nothing","haven_labelled/vctrs_vctr/double",441460,100
"@comd11","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Don't know","haven_labelled/vctrs_vctr/double",441460,100
"@comd12","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Other answers","haven_labelled/vctrs_vctr/double",441460,100
"@comd13","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Not stated","haven_labelled/vctrs_vctr/double",441460,100
"@comd2","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Nicotine replacement product on prescription or given to you by a health professional","haven_labelled/vctrs_vctr/double",441460,100
"@comd20","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -A book or booklet","haven_labelled/vctrs_vctr/double",441460,100
"@comd23","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Phoned a Smoking Helpline","haven_labelled/vctrs_vctr/double",441460,100
"@comd25","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Visited  www.nhs.uk/smokefree website","haven_labelled/vctrs_vctr/double",441460,100
"@comd26","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Visited a website other than Smokefree","haven_labelled/vctrs_vctr/double",441460,100
"@comd27","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) - Electronic/fake cigarette","haven_labelled/vctrs_vctr/double",441460,100
"@comd3","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Zyban (bupropion)","haven_labelled/vctrs_vctr/double",441460,100
"@comd4","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Champix (varenicline)","haven_labelled/vctrs_vctr/double",441460,100
"@comd5","G3 What used to help stop smoking during the third most recent serious quit attempt (COMBINED) -Attended a Stop Smoking group","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_1","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Advice from a GP/health professional","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_10","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Health problems I had at the time","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_11","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - A concern about future health problems","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_12","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Attending a local stop smoking activity or event","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_13","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Something said by family/friends/children","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_14","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - A significant birthday","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_15","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Don't Know/Can't remember","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_16","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Other","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_17","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Pregnancy","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_18","G12 Which of the following contributed to third most recent quit attempt (COMBINED) -  Worried for children","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_19","G12 Which of the following contributed to third most recent quit attempt (COMBINED) -  Knew someone who was ill/had died (from smoking)","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_2","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - TV advert for a nicotine replacement product","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_20","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - (Just) decided to quit","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_21","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Health reasons - not specified if current or future","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_22","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Going on holiday","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_23","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Not stated","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_3","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Government TV/radio/press advert","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_4","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Hearing about a new stop smoking treatment","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_5","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - A decision that smoking was too expensive","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_6","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - Being faced with smoking restrictions","haven_labelled/vctrs_vctr/double",441460,100
"@comd5a_7","G12 Which of the following contributed to third most recent quit attempt (COMBINED) - I knew someone else who was stopping","haven_labelled/vctrs_vctr/double",441460,100
